DEBUG: General     , 1713014312472> 12,728,048> LoggerManager.init                  > Initializing...
LOG  : General     , 1713014312515> 12,728,084> cachedir set to "C:\Users\Ben Mansfield\Zomboid"
LOG  : General     , 1713014312591> 12,728,160> version=41.78.16 demo=false
LOG  : General     , 1713014312592> 12,728,160> revision= date= time=
LOG  : General     , 1713014312594> 12,728,162> server name is "HcPiltzAndPentz"
LOG  : General     , 1713014312594> 12,728,163> checking server WorldVersion in map_t.bin
LOG  : General     , 1713014312596> 12,728,164> Loading networking libraries...
LOG  : General     , 1713014312596> 12,728,165> Loading steam_api64...
LOG  : General     , 1713014312600> 12,728,169> Loading RakNet64...
LOG  : General     , 1713014312602> 12,728,170> Loading ZNetJNI64...
LOG  : Network     , 1713014312730> 12,728,300> [13-04-24 14:18:32.730] > ZNet: SetLogLevel 1
LOG  : Network     , 1713014312732> 12,728,301> [13-04-24 14:18:32.732] > ZNet: Compiled with SERVER_STEAMAPI == 0
LOG  : Network     , 1713014312732> 12,728,301> [13-04-24 14:18:32.732] > ZNet: Starting with bServer == true
LOG  : Network     , 1713014312732> 12,728,302> [13-04-24 14:18:32.732] > ZNet: SteamAPI initialised successfully
LOG  : General     , 1713014312733> 12,728,302> SteamUtils initialised successfully
LOG  : General     , 1713014322115> 12,737,684> translator: language is EN
LOG  : General     , 1713014322242> 12,737,810> LightingFPS set to 15
LOG  : General     , 1713014322255> 12,737,824> reading C:\Users\Ben Mansfield\Zomboid\Server\HcPiltzAndPentz.ini
LOG  : General     , 1713014322256> 12,737,825> writing C:\Users\Ben Mansfield\Zomboid\Server\HcPiltzAndPentz.ini
LOG  : Network     , 1713014322264> 12,737,833> [13-04-24 14:18:42.264] > ZNet: SZombienet -> SZombienet: Init
LOG  : Network     , 1713014322513> 12,738,082> [13-04-24 14:18:42.513] > ZNet: SteamGameServer seems to be initialized
LOG  : Network     , 1713014322514> 12,738,083> [13-04-24 14:18:42.514] > ZNet: SZombienet -> SSteamSDK: SetMaxPlayerCount
LOG  : Network     , 1713014322514> 12,738,083> [13-04-24 14:18:42.514] > ZNet: SetServerName 'My PZ Server'
LOG  : Network     , 1713014322515> 12,738,083> [13-04-24 14:18:42.515] > ZNet: SetMapName 'vehicle_interior;Basements;RavenCreek;Fort Knox linked to Eerie Country;Eerie Country;Eerie A;Eerie B;Eerie C;Eerie D;BedfordFalls;North;South;West;To Bedford Falls;To Eerie Country;Tikitown;Grapeseed;NewEkron;EdsAutoSalvage;FortRedstone;Cabin by the Lake;Cabin east of West Point;Cabin in The Western Woods;Dixie, KY - Forest Cabin;Extremely Isolated Camping Cabin;Forest House and Trailer;Lone Forest Shack Muldraugh and Rosewood;Muldraugh Camp Grounds;Scouting Camp Cabins;South Muldraugh Forest Cabin;Muldraugh, KY'
LOG  : Network     , 1713014322515> 12,738,084> [13-04-24 14:18:42.515] > ZNet: SetGameTags 'hidden;hosted'
LOG  : Network     , 1713014322515> 12,738,084> [13-04-24 14:18:42.515] > ZNet: SetKeyValue key='description' value=''
LOG  : Network     , 1713014322516> 12,738,085> [13-04-24 14:18:42.516] > ZNet: SetKeyValue key='version' value='41.78.16'
LOG  : Network     , 1713014322516> 12,738,085> [13-04-24 14:18:42.516] > ZNet: SetKeyValue key='open' value='1'
LOG  : Network     , 1713014322516> 12,738,085> [13-04-24 14:18:42.516] > ZNet: SetKeyValue key='public' value='0'
LOG  : Network     , 1713014322517> 12,738,085> [13-04-24 14:18:42.517] > ZNet: SetKeyValue key='mods' value='RV_Interior_MP;RV_Interior_Vanilla;Basements;RavenCreek;FortKnoxLinked;EerieCountry;BedfordFalls;tikitown'
LOG  : Network     , 1713014322517> 12,738,086> [13-04-24 14:18:42.517] > ZNet: SetKeyValue key='modCount' value='173'
LOG  : Network     , 1713014322517> 12,738,086> [13-04-24 14:18:42.517] > ZNet: SetKeyValue key='pvp' value='1'
LOG  : General     , 1713014322520> 12,738,089> Waiting for response from Steam servers
LOG  : Network     , 1713014323936> 12,739,504> [13-04-24 14:18:43.936] > ZNet: SSteamSDK -> SZombienet: OnSteamServersConnected
LOG  : Network     , 1713014323936> 12,739,505> [13-04-24 14:18:43.936] > ZNet: OnSteamServersConnected
LOG  : Network     , 1713014323936> 12,739,505> [13-04-24 14:18:43.936] > ZNet: SZombienet -> SSteamSDK: SetMaxPlayerCount
LOG  : Network     , 1713014323937> 12,739,505> [13-04-24 14:18:43.937] > ZNet: Public IP: 109.147.208.203
LOG  : Network     , 1713014324177> 12,739,745> [13-04-24 14:18:44.177] > ZNet: SSteamSDK -> SZombienet: OnPolicyResponse
LOG  : Network     , 1713014324177> 12,739,746> [13-04-24 14:18:44.177] > ZNet: OnPolicyResponse
LOG  : Network     , 1713014324177> 12,739,746> [13-04-24 14:18:44.177] > ZNet: SZombienet -> SSteamSDK: BSecure
LOG  : Network     , 1713014324177> 12,739,746> [13-04-24 14:18:44.177] > ZNet: Zomboid Server is VAC Secure
LOG  : General     , 1713014324350> 12,739,919> Workshop: onItemQueryCompleted handle=1 numResult=165
LOG  : General     , 1713014324358> 12,739,926> Workshop: GetItemState()=Installed ID=2478247379
LOG  : General     , 1713014324360> 12,739,928> Workshop: item state CheckItemState -> Ready ID=2478247379
LOG  : General     , 1713014324360> 12,739,928> Workshop: GetItemState()=Installed ID=2618213077
LOG  : General     , 1713014324360> 12,739,929> Workshop: item state CheckItemState -> Ready ID=2618213077
LOG  : General     , 1713014324360> 12,739,929> Workshop: GetItemState()=Installed ID=2971668062
LOG  : General     , 1713014324360> 12,739,929> Workshop: item state CheckItemState -> Ready ID=2971668062
LOG  : General     , 1713014324361> 12,739,929> Workshop: GetItemState()=Installed ID=2811383142
LOG  : General     , 1713014324361> 12,739,929> Workshop: item state CheckItemState -> Ready ID=2811383142
LOG  : General     , 1713014324361> 12,739,930> Workshop: GetItemState()=Installed ID=2566953935
LOG  : General     , 1713014324361> 12,739,930> Workshop: item state CheckItemState -> Ready ID=2566953935
LOG  : General     , 1713014324361> 12,739,930> Workshop: GetItemState()=Installed ID=2489148104
LOG  : General     , 1713014324361> 12,739,930> Workshop: item state CheckItemState -> Ready ID=2489148104
